material_id,cpse_name,cpse_material_code,category,noun,modifier,description,unit_of_measure,attribute_values,technical_spec,unspsc_code,functional_equivalent_group,common_national_material_code,is_duplicate,ai_match_confidence,best_match_material_id,best_match_cpse,best_match_code,best_match_description
71,NTPC,NT000071,Pipes & Tubes,TUBE,WELDED,WELDED TUBE End Type:HEAVY,METERS,"{'Diameter': '4""', 'Wall Thickness': '12mm', 'Length': '10FT', 'Material Grade': 'STAINLESS STEEL 316', 'End Type': 'HEAVY'}","Diameter: 4"" | Wall Thickness: 12mm | Length: 10FT | Material Grade: STAINLESS STEEL 316 | End Type: HEAVY",27100037,67,CNMC-000067,True,90.5,67,GAIL,GA000067,WELDED TYPE TUBE End Type:HEAVY
236,CCL,CC000236,Bearings,BEARING,SPHERICAL,BEARING-SPHERICAL Load Rating:100HP,NOS,"{'Inside Diameter': '1""', 'Outside Diameter': '2""', 'Width': '12mm', 'Load Rating': '100HP', 'Seal Type': 'STD'}","Inside Diameter: 1"" | Outside Diameter: 2"" | Width: 12mm | Load Rating: 100HP | Seal Type: STD",31170062,236,CNMC-000236,False,65.7,235,BPCL,BP000235,"BEARING-SPHERICAL Inside Diameter:1"""
431,IOCL,IO000431,Pumps,PUMP,POSITIVE DISPLACEMENT,PUMP POSITIVE DISPLACEMENT TYPE Power:100HP,EACH,"{'Flow Rate': '50 M3/H', 'Head': 'NORMAL', 'Power': '100HP', 'Speed': 'STD', 'Impeller Material': 'CARBON STEEL'}",Flow Rate: 50 M3/H | Head: NORMAL | Power: 100HP | Speed: STD | Impeller Material: CARBON STEEL,40150077,430,CNMC-000430,True,88.7,430,CPCL,CP000430,PUMP (POSITIVE DISPLACEMENT) Power:100HP
413,BHEL,BH000413,Pumps,PUMP,MULTISTAGE,PUMP-MULTISTAGE Impeller Material:STAINLESS STEEL 304,NOS,"{'Flow Rate': '200 M3/H', 'Head': 'HIGH', 'Power': '15HP', 'Speed': 'LIGHT', 'Impeller Material': 'STAINLESS STEEL 304'}",Flow Rate: 200 M3/H | Head: HIGH | Power: 15HP | Speed: LIGHT | Impeller Material: STAINLESS STEEL 304,40150077,413,CNMC-000413,False,75.4,450,BHEL,BH000450,PUMP MULTISTAGE TYPE Impeller Material:STAINLESS STEEL 304
40,SAIL,SA000040,Pipes & Tubes,TUBE,CARBON STEEL,"CARBON STEEL TYPE TUBE Diameter:6""",FOOTS,"{'Diameter': '6""', 'Wall Thickness': '20mm', 'Length': '20FT', 'Material Grade': 'CAST IRON', 'End Type': 'HEAVY'}","Diameter: 6"" | Wall Thickness: 20mm | Length: 20FT | Material Grade: CAST IRON | End Type: HEAVY",27100037,37,CNMC-000037,True,100.0,38,CCL,CC000038,"CARBON STEEL TYPE TUBE Diameter:6"""
671,HPCL,HP000671,Instruments,FLOW METER,ELECTRONIC,FLOW METER-ELECTRONIC Range:0-16 BAR,NOS,"{'Range': '0-16 BAR', 'Accuracy': 'LIGHT', 'Output Signal': 'HEAVY', 'Process Connection': 'HEAVY', 'Housing Material': 'BRONZE'}",Range: 0-16 BAR | Accuracy: LIGHT | Output Signal: HEAVY | Process Connection: HEAVY | Housing Material: BRONZE,41000046,669,CNMC-000669,True,89.1,669,IOCL,IO000669,flow meter electronic type range:0-16 bar
737,BHEL,BH000737,Instruments,FLOW METER,ANALOG,FLOW METER (ANALOG) Output Signal:LIGHT,NOSS,"{'Range': '0-100 BAR', 'Accuracy': 'HEAVY', 'Output Signal': 'LIGHT', 'Process Connection': 'STD', 'Housing Material': 'STAINLESS STEEL 304'}",Range: 0-100 BAR | Accuracy: HEAVY | Output Signal: LIGHT | Process Connection: STD | Housing Material: STAINLESS STEEL 304,41000046,737,CNMC-000737,False,61.0,734,CCL,CC000734,FLOW METER ANALOG TYPE Accuracy:HEAVY
111,HPCL,HP000111,Valves,VALVE,CHECK,"VALVE, CHECK Body Material:BRONZE",EACH,"{'Size': '3""', 'Pressure Rating': '1500 PSI', 'Body Material': 'BRONZE', 'End Connection': 'STD', 'Temperature Rating': '10HP'}","Size: 3"" | Pressure Rating: 1500 PSI | Body Material: BRONZE | End Connection: STD | Temperature Rating: 10HP",40140061,111,CNMC-000111,False,61.9,110,BHEL,BH000110,"VALVE-CHECK Size:3"""
73,IOCL,IO000073,Pipes & Tubes,TUBING,CARBON STEEL,"TUBING, CARBON STEEL Material Grade:STAINLESS STEEL 316",METER,"{'Diameter': '3/4""', 'Wall Thickness': '10mm', 'Length': '6M', 'Material Grade': 'STAINLESS STEEL 316', 'End Type': 'LIGHT'}","Diameter: 3/4"" | Wall Thickness: 10mm | Length: 6M | Material Grade: STAINLESS STEEL 316 | End Type: LIGHT",27100056,73,CNMC-000073,False,65.0,74,NTPC,NT000074,"CARBON STEEL TUBING Diameter:3/4"""
87,BHEL,BH000087,Pipes & Tubes,PIPE,WELDED,pipe-welded length:10ft,METERS,"{'Diameter': '4""', 'Wall Thickness': '8mm', 'Length': '10FT', 'Material Grade': 'ALLOY STEEL', 'End Type': 'STD'}","Diameter: 4"" | Wall Thickness: 8mm | Length: 10FT | Material Grade: ALLOY STEEL | End Type: STD",27100067,87,CNMC-000087,False,67.3,85,NTPC,NT000085,"PIPE, WELDED Diameter:4"""
